Gasage (yr BP),CO2 (ppmv),bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Year
-51.02999999999997,368.02248790241714,1,0.0,-50.0,-55.0,,218.3,3.105321,2001
-48.0,361.78073658846415,2,0.55,-43.55977,-50.51333333,,218.3,3.104805,2002
-46.27927212999998,359.6477931830841,3,1.1,-37.44019,-46.02666667,,218.3,3.104404,2003
-44.40564212000004,357.10673969933646,4,1.65,-31.64156,-41.54,,218.3,3.104025,2004
-43.07999999999993,353.94668533391206,5,2.2,-24.55278,-34.51666667,,218.3,3.103453,2005
-42.313517060000095,353.72423581425323,6,2.75,-17.78422,-27.49333333,,218.3,3.102677,2006
-41.13481671,352.41630841973364,7,3.3,-11.01305,-20.47,,218.3,3.101557,2007
-39.97139973000003,350.8086522409729,8,3.85,-3.2703,-12.21333333,,218.3,3.099708,2008
-39.407967809999946,349.8002703595191,9,4.4,5.447842,-3.956666667,,218.3,3.096691,2009
-38.966334940000024,349.27841464963046,10,4.95,13.52999,4.3,,218.3,3.092812,2010
-38.06951193000009,347.59740561133145,11,5.5,22.27284,13.22,,218.3,3.087226,2011
-37.20859160000009,345.44120600376243,12,6.05,30.70987,22.14,,218.3,3.080266,2012
-36.616016200000104,344.71776861346984,13,6.6,38.51757,31.06,-390.9,218.3,3.07229,2013
-36.14322833999995,343.9736767615952,14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,2014
-35.76218001999996,343.1107520502481,15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,2015
-34.916752950000046,342.0519764062061,16,8.25,64.43646,57.05,-394.1,217.7,3.027896,2016
-33.07684986999993,341.3292967441024,17,8.8,73.05573,66.38,-398.7,217.0,3.011312,2017
-33.02591865999989,339.4604885213476,18,9.35,81.72349,75.71,-395.9,217.4,2.994881,2018
-29.14258988000006,334.84855553252345,19,9.9,90.43857,85.04,-395.9,217.4,2.92487,2019
-26.796750369999927,335.54695345792317,20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,2020
-26.67036968000002,332.3689555204767,21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,2021
-25.570921230000067,332.3656863259178,22,11.55,119.2176,114.51,-399.5,216.8,2.660774,2022
-24.133413320000045,331.54980566810485,23,12.1,129.3916,124.6733333,-402.9,216.3,2.65627,2023
-22.088334380000106,328.41588801232757,24,12.65,139.9534,134.8366667,-393.9,217.8,2.655582,2024
-22.041017810000085,330.3504422217994,25,13.2,150.1377,145.0,-398.6,217.0,2.659589,2025
-20.872681979999925,326.3093257445175,26,13.75,160.6797,155.4433333,-389.8,218.4,2.662412,2026
-20.65630200999999,326.6491948420144,27,14.3,171.2088,165.8866667,-394.5,217.7,2.66669,2027
-20.637150239999983,324.9059936630005,28,14.85,181.7194,176.33,-400.5,216.7,2.672306,2028
-20.22168347999991,324.5570616692709,29,15.4,191.8325,186.7333333,-403.6,216.2,2.678883,2029
